,text,sentiment
0,"Fox News keeps hammering, according to plan, how great Carly Fiorina was last night—but I don't remember a word she said. #GOPDebate",Negative
1,"RT @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]
#NoAmnesty
http://t.co/hImScrVikr
#GOPDebates",Negative
2,"#GOPDebate #JonVoyage - Thoughts on the events of last night on TV, including the Republican debate and Jon... http://t.co/pz4tiAOnBL",Neutral
3,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",Neutral
4,"RT @NadineElhindi: A debate moderator's job is to ask tough questions, NOT to attack the candidates then play the victim. @FoxNews @megynke…",Negative
5,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,Neutral
6,@ericbolling I'm noticing that as well! Talk to Cruz!!! #gopdebate #gopdebates #tedcruz,Neutral
7,#asian Success Debunks Liberal #WhitePrivilege debate: http://t.co/wFcPvVP5L3  #GOPDebate  @RealJamesWoods @RealDLHughley @realDonaldTrump,Negative
8,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates,Positive
9,"@realDonaldTrump @FoxNews @megynkelly Well if that isn't the pot calling the kettle black, I don't know what is. #GOPDebate",Negative
10,"Fast forward #GOPDebate 2016' to #GOPDebate 2040' "" We need a wall """,Neutral
11,"RT @SupermanHotMale: Dear Donald Trump, sniff a couple times, your head is in your ass #GopDebates",Negative
12,Check out http://t.co/k1hbpWGv6w for a fresh political perspective! #blog #blogger #finchley1959 We update constantly! #GOPDebate,Neutral
13,Never thought Kasich would be the sanest guy in the room.  #ClownCarClusterFuck #GOPDebates,Positive
14,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP",Negative
15,"RT @RobertLeger: 50 years ago fearmongers said JFK would take orders from the pope. Now, Fox wants to know if candidates take orders from G…",Negative
16,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,Negative
17,RT @puddinstrip: who's up for a post debate fuck on the hood of my Chevy? #RockHardForAmerica #GOPDebate,Neutral
18,If you don't already think @realDonaldTrump is a narcissist look at his twitter feed - Apparently he thinks the #GOPDebate went well for him,Negative
19,Kasich had a strong start to the debate but lack of questions led him to fade into the background. #GOPDebates,Negative
20,@realDonaldTrump @megynkelly @bretbaier #GOPDebate Mods job is2 ask Qs we don't know answers 2 not bait &amp; target a candidate #Trump2016,Positive
21,"RT @MeanProgress: #GOPDebates Not even being mean, the quality of production makes .@FoxNews look like a Public Access broadcast.

#UniteBI…",Negative
22,"What else is new. Should we pretend to be surprised? ""#GOP @housegop candidates veer from truth"": http://t.co/7ZpGWQrgoS #GOPDebate",Negative
23,#GOPdebate: Early numbers suggest record audience ... http://t.co/AsONS3bsG6,Positive
24,"RT @Davante_R: Women that would be offended by Trumps ""Misogyny"" most certainly don't vote Republican.

Find a new fake issue Faux News.

#…",Negative
25,RT @bobcesca_go: It's really amazing how these guys are blaming Obama for making peace after their party fucked and scrambled that whole re…,Negative
26,RT @WillCarrFNC: .@CarlyFiorina ignites interest as rivals seek post-debate momentum #FoxNews #GOPDebate http://t.co/F5vda4YE9x http://t.co…,Neutral
27,RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. #GOPDebates,Negative
28,@realdonaldtrump should be Donald #stump. He was horrible at the #gopdebate. He talked a lot but said NOTHING.,Negative
29,"#GOPDebates - put all of those men on stage in one body and you still don't have one decent President. 
#IStandWithObama
#Hillary2016",Negative
30,"RT @thehill: Rubio: God blessed GOP with good candidates, but the Dems can't find one: http://t.co/m6kEVwuaYL #GOPDebate http://t.co/8FjT3f…",Neutral
31,All my faves did really well last night: @marcorubio @JohnKasich @RealBenCarson @CarlyFiorina  #GOPDebate  Rubio-Kasich ticket! #Outnumbered,Positive
32,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸,Negative
33,What scares me most about #GOPDebate : the people who break into storms of applause at misogyny &amp; crazy talk.,Negative
34,RT @MrGeorgeWallace: The other candidates are stayin' pretty calm considering they assume Dr. Carson's gonna mug them at some point. #GOPDe…,Positive
35,RT @keriRN: http://t.co/VAGYIuZ5J8 #dumbassSexist Donald Trump made case for campaign finance reform....#GOPDebates,Positive
36,"RT @alexandraheuser: America HORRIFIED @ #PPSellsBabyParts SANTORUM taps in to our RAGE! Tried 2 marginalize #Rick2016 w/""social ques"" Saw …",Negative
37,"""@RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates""",Negative
38,RT @GreeneHunter: Ben killed it tonight at the Gop Primary Debate!  #GOPDebate  #Carson16 #RunBenRun,Negative
